Round,mAP50,F1_Score,Precision,Recall,ASR_Miscls_Avg,ASR_Removal_Avg,Active_ASR,Miscls_Targets,Removal_Targets,Num_Attackers,Total_Label_Changed,Total_Poisoned_Batches,Num_Gen_Paths,Avg_Param_Delta,Max_Param_Delta
0,0.2598,0.0086,0.0043,1.0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0.0
1,0.9841,0.6938,0.9941,0.5329,0.0,0.0,0.0,0,0,0,0,0,0,15.967638,15.987664
2,0.995,0.9962,0.9925,1.0,0.0,0.0,0.0,0,0,0,0,0,0,2.400148,2.47725
3,0.995,0.9965,0.993,1.0,0.8077,0.0,0.8077,26,0,3,284,158,3,4.573588,9.082148
4,0.995,0.9975,0.9951,1.0,0.7692,0.0,0.7692,26,0,1,97,51,1,1.79496,5.540055
5,0.995,0.9975,0.9951,1.0,0.6538,0.0,0.6538,26,0,0,0,0,0,1.364155,1.382818
6,0.995,0.9989,0.9978,1.0,0.1923,0.0,0.1923,26,0,1,101,54,1,2.280147,4.834283
7,0.995,0.9971,0.9942,1.0,0.9231,0.0,0.9231,26,0,1,110,56,1,2.121433,4.158902
8,0.995,0.9989,0.9979,1.0,0.3077,0.0,0.3077,26,0,1,82,49,1,1.810817,3.906513
9,0.995,0.9987,0.9973,1.0,0.8846,0.0,0.8846,26,0,1,88,52,1,1.744421,3.471391
10,0.995,0.9984,0.9968,1.0,0.3846,0.0,0.3846,26,0,0,0,0,0,1.439085,1.498569
11,0.995,0.9985,0.9971,1.0,0.9615,0.0,0.9615,26,0,2,200,107,2,1.984121,3.368212
12,0.995,0.9978,0.9957,1.0,0.9615,0.0,0.9615,26,0,0,0,0,0,1.279951,1.505228
13,0.995,0.9984,0.9968,1.0,0.9231,0.0,0.9231,26,0,0,0,0,0,1.343281,1.478933
14,0.995,0.9986,0.9972,1.0,0.8846,0.0,0.8846,26,0,1,107,55,1,1.599909,2.370461
15,0.995,0.9984,0.9969,1.0,0.5769,0.0,0.5769,26,0,0,0,0,0,1.584234,1.672736
16,0.995,0.9989,0.9978,1.0,1.0,0.0,1.0,26,0,2,192,106,2,1.572808,2.393183
17,0.995,0.999,0.998,1.0,0.9231,0.0,0.9231,26,0,1,86,53,1,1.644863,1.981392
18,0.995,0.999,0.998,1.0,0.8846,0.0,0.8846,26,0,1,85,48,1,1.335641,1.855681
19,0.995,0.9979,0.9959,1.0,0.9615,0.0,0.9615,26,0,0,0,0,0,1.208615,1.279936
20,0.995,0.999,0.998,1.0,0.8462,0.0,0.8462,26,0,0,0,0,0,1.423658,1.552226
