Round,mAP50,F1_Score,Precision,Recall,ASR
0,0.0,0.0001,0.0001,0.0035,0.0
1,0.0379,0.006,0.003,0.3001,0.0
2,0.1716,0.2202,0.3221,0.1673,0.0
3,0.2346,0.2912,0.294,0.2884,0.0
4,0.2136,0.251,0.3065,0.2125,0.0
5,0.1929,0.2644,0.2812,0.2494,0.0
6,0.252,0.3063,0.3918,0.2514,0.0
7,0.2775,0.3183,0.3421,0.2976,0.0
8,0.3623,0.3925,0.4353,0.3573,0.0   
9,0.3754,0.3876,0.4514,0.3395,0.0
10,0.375,0.4041,0.4305,0.3807,0.0
11,0.4503,0.4416,0.5034,0.3933,0.0
12,0.4092,0.4388,0.4625,0.4174,0.0
13,0.4826,0.509,0.5385,0.4826,0.0
14,0.5083,0.5166,0.4931,0.5425,0.0
15,0.5149,0.5293,0.5522,0.5083,0.0
16,0.5235,0.548,0.5858,0.5148,0.0
17,0.6071,0.6244,0.6694,0.5851,0.0
18,0.5804,0.5889,0.6252,0.5565,0.0
19,0.6214,0.6378,0.6866,0.5955,0.0
20,0.6203,0.627,0.6414,0.6133,0.0
21,0.6294,0.6461,0.6895,0.6079,0.0
22,0.619,0.6384,0.6872,0.5961,0.0
23,0.653,0.6699,0.7533,0.603,0.0
24,0.6305,0.6344,0.6655,0.606,0.0
25,0.674,0.6898,0.7257,0.6572,0.0
26,0.6444,0.657,0.7155,0.6074,0.0
27,0.6701,0.6627,0.7542,0.591,0.0
28,0.654,0.672,0.7068,0.6406,0.0
29,0.6951,0.7096,0.7551,0.6692,0.0
30,0.6762,0.6917,0.7527,0.6399,0.0
31,0.7029,0.712,0.7444,0.6824,0.0
32,0.665,0.6906,0.7322,0.6535,0.0
33,0.6822,0.6733,0.7,0.6484,0.0
34,0.6889,0.6985,0.7307,0.669,0.0
35,0.7126,0.714,0.748,0.683,0.0
36,0.677,0.6908,0.7215,0.6627,0.0
37,0.7296,0.7281,0.7932,0.6728,0.0
38,0.6891,0.6918,0.7327,0.6552,0.0
39,0.7112,0.7162,0.7547,0.6814,0.0
40,0.6906,0.7087,0.7491,0.6725,0.0
41,0.6982,0.7028,0.745,0.6651,0.0
42,0.7093,0.7216,0.7688,0.68,0.0
43,0.724,0.7263,0.764,0.6921,0.0
44,0.6931,0.7062,0.7593,0.66,0.0
45,0.724,0.7247,0.7666,0.6871,0.0
46,0.7216,0.7185,0.772,0.672,0.0
47,0.7247,0.7281,0.7664,0.6935,0.0
48,0.7214,0.7207,0.732,0.7097,0.0
49,0.7011,0.7033,0.7415,0.6688,0.0
50,0.7205,0.7193,0.7658,0.6782,0.0
51,0.7223,0.7316,0.7742,0.6933,0.0
52,0.7228,0.7278,0.7516,0.7054,0.0
53,0.7169,0.7303,0.7765,0.6893,0.0
54,0.7176,0.72,0.7351,0.7055,0.0
55,0.7108,0.7169,0.7678,0.6724,0.0
56,0.7375,0.7346,0.7427,0.7267,0.0
57,0.7238,0.7358,0.776,0.6996,0.0
58,0.739,0.7439,0.7697,0.7197,0.0
59,0.7348,0.7392,0.7847,0.6987,0.0
60,0.7359,0.7314,0.7881,0.6823,0.0
61,0.7438,0.7425,0.7721,0.7151,0.0
62,0.7482,0.7503,0.8084,0.6999,0.0
63,0.7279,0.7214,0.7573,0.6888,0.0
64,0.7333,0.7451,0.7632,0.7277,0.0
65,0.7151,0.7295,0.7572,0.7039,0.0
66,0.7303,0.739,0.771,0.7096,0.0
67,0.7081,0.7227,0.768,0.6824,0.0
68,0.7326,0.7386,0.7809,0.7006,0.0
69,0.7176,0.7244,0.7753,0.6798,0.0
70,0.7384,0.7504,0.7875,0.7166,0.0
71,0.7194,0.7278,0.7581,0.6998,0.0
72,0.7429,0.7509,0.8082,0.7011,0.0
73,0.7358,0.7297,0.7721,0.6918,0.0
74,0.7412,0.7534,0.7967,0.7146,0.0
75,0.7449,0.735,0.7788,0.6958,0.0
76,0.7498,0.7579,0.7952,0.7239,0.0
77,0.74,0.7486,0.7786,0.7208,0.0
78,0.7268,0.7301,0.782,0.6847,0.0
79,0.7521,0.7525,0.78,0.7269,0.0
80,0.7436,0.75,0.7744,0.727,0.0
81,0.7532,0.7566,0.7887,0.7269,0.0
82,0.7468,0.7545,0.7986,0.715,0.0
83,0.7361,0.7481,0.7735,0.7242,0.0
84,0.7535,0.7496,0.7873,0.7153,0.0
85,0.7514,0.7459,0.8003,0.6985,0.0
86,0.7752,0.7685,0.8258,0.7186,0.0
87,0.7556,0.7612,0.7822,0.7412,0.0
88,0.7619,0.7551,0.8121,0.7056,0.0
89,0.7568,0.7568,0.8051,0.714,0.0
90,0.7562,0.7527,0.7911,0.7179,0.0
91,0.7426,0.7461,0.8024,0.6971,0.0
92,0.7496,0.7509,0.7894,0.7159,0.0
93,0.7479,0.7455,0.7853,0.7095,0.0
94,0.7599,0.7589,0.8127,0.7117,0.0
95,0.7467,0.7415,0.7953,0.6946,0.0
96,0.7536,0.7558,0.7922,0.7227,0.0
97,0.7485,0.7582,0.8019,0.719,0.0
98,0.7581,0.757,0.7997,0.7187,0.0
99,0.7494,0.7534,0.7927,0.7179,0.0
100,0.7468,0.7435,0.7907,0.7016,0.0


  class     Images  Instances          P          R      mAP50   mAP50-95
    all       1360       3674      0.727      0.661      0.694      0.289   
     go        672       1637      0.727      0.713      0.718      0.314
   stop        677       1626      0.723      0.793       0.79      0.332
warning        168        411      0.731      0.477      0.573      0.219
