Round,mAP50,F1_Score,Precision,Recall,ASR_Miscls_Avg,ASR_Removal_Avg,Active_ASR,Miscls_Targets,Removal_Targets,Num_Attackers,Total_Label_Changed
0,0.0,0.0001,0.0001,0.0041,0.0,0.0,0.0,0,0,0,0
1,0.0778,0.1447,0.7785,0.0797,0.0,0.0,0.0,0,0,8,3806
2,0.2409,0.3074,0.3625,0.2668,0.3472,0.0,0.3472,72,0,12,5816
3,0.3189,0.3704,0.4435,0.318,0.1364,0.0,0.1364,132,0,10,4984
4,0.3615,0.402,0.4971,0.3374,0.2583,0.0,0.2583,120,0,11,5201
5,0.3861,0.3947,0.455,0.3485,0.2932,0.0,0.2932,133,0,11,5335
6,0.4071,0.4085,0.462,0.3661,0.2733,0.0,0.2733,150,0,10,4423
7,0.4195,0.4307,0.4799,0.3907,0.4474,0.0,0.4474,152,0,13,6245
8,0.4324,0.435,0.4802,0.3976,0.3667,0.0,0.3667,150,0,11,5244
9,0.4266,0.4195,0.4547,0.3894,0.6312,0.0,0.6312,160,0,14,7114
10,0.4542,0.4688,0.5359,0.4167,0.2683,0.0,0.2683,164,0,7,3220
11,0.4691,0.4727,0.5318,0.4254,0.4013,0.0,0.4013,157,0,9,4332
12,0.4801,0.4885,0.5166,0.4633,0.4852,0.0,0.4852,169,0,10,4655
13,0.4931,0.4888,0.5145,0.4656,0.4734,0.0,0.4734,169,0,11,4804
14,0.499,0.5137,0.5559,0.4774,0.5706,0.0,0.5706,177,0,11,5438
15,0.5158,0.5281,0.5912,0.4772,0.4358,0.0,0.4358,179,0,10,4720
16,0.5241,0.5234,0.5532,0.4967,0.6494,0.0,0.6494,174,0,13,6186
17,0.5447,0.5469,0.5939,0.5068,0.5824,0.0,0.5824,170,0,10,4380
18,0.5498,0.5474,0.571,0.5256,0.7571,0.0,0.7571,177,0,12,5869
19,0.5589,0.5678,0.6266,0.5191,0.7614,0.0,0.7614,176,0,14,6440
20,0.5656,0.564,0.5989,0.5329,0.7459,0.0,0.7459,181,0,11,5193
21,0.5757,0.5704,0.6132,0.5332,0.7432,0.0,0.7432,183,0,13,6131
22,0.5817,0.5813,0.6207,0.5467,0.7717,0.0,0.7717,184,0,14,6767
23,0.5895,0.5775,0.6032,0.5538,0.7892,0.0,0.7892,185,0,14,6709
24,0.6076,0.6052,0.6462,0.5691,0.7088,0.0,0.7088,182,0,9,3972
25,0.6133,0.6118,0.6658,0.566,0.7283,0.0,0.7283,184,0,10,4838
26,0.6253,0.6241,0.672,0.5825,0.7444,0.0,0.7444,180,0,9,4365
27,0.6259,0.6242,0.6724,0.5824,0.7688,0.0,0.7688,186,0,11,5478
28,0.6277,0.6253,0.6789,0.5795,0.791,0.0,0.791,177,0,13,6254
29,0.6394,0.6362,0.6986,0.584,0.7634,0.0,0.7634,186,0,10,4817
30,0.6396,0.6337,0.6931,0.5837,0.7791,0.0,0.7791,172,0,11,5197
31,0.6365,0.6327,0.7073,0.5723,0.8176,0.0,0.8176,170,0,14,6827
32,0.6463,0.647,0.7066,0.5967,0.8023,0.0,0.8023,177,0,11,5591
33,0.6525,0.6499,0.7294,0.5861,0.8034,0.0,0.8034,178,0,11,5129
34,0.65,0.6464,0.7142,0.5904,0.8192,0.0,0.8192,177,0,13,6292
35,0.6547,0.6485,0.732,0.5821,0.8033,0.0,0.8033,183,0,11,5182
36,0.6562,0.6535,0.7382,0.5862,0.8229,0.0,0.8229,175,0,12,5880
37,0.6617,0.6582,0.744,0.5901,0.7956,0.0,0.7956,181,0,10,4669
38,0.6631,0.6599,0.7412,0.5946,0.8177,0.0,0.8177,181,0,11,5279
39,0.6674,0.6605,0.751,0.5895,0.8092,0.0,0.8092,173,0,10,4686
40,0.6599,0.6537,0.7278,0.5933,0.8531,0.0,0.8531,177,0,15,7287
41,0.6648,0.6588,0.7442,0.591,0.8398,0.0,0.8398,181,0,13,6178
42,0.6752,0.6666,0.754,0.5973,0.8208,0.0,0.8208,173,0,11,5270
43,0.6693,0.6633,0.7649,0.5856,0.8229,0.0,0.8229,175,0,12,5354
44,0.6788,0.6713,0.7544,0.6047,0.8276,0.0,0.8276,174,0,8,3380
45,0.6729,0.6653,0.754,0.5953,0.843,0.0,0.843,172,0,13,6115
46,0.6772,0.6696,0.7624,0.5969,0.8343,0.0,0.8343,175,0,12,5819
47,0.6805,0.6712,0.751,0.6067,0.8418,0.0,0.8418,177,0,10,4687
48,0.6752,0.6648,0.7387,0.6043,0.8579,0.0,0.8579,183,0,14,6702
49,0.6808,0.6694,0.7406,0.6107,0.8563,0.0,0.8563,174,0,11,5267
50,0.6849,0.6713,0.7452,0.6107,0.8352,0.0,0.8352,176,0,10,4836
