Round,mAP50,F1_Score,Precision,Recall,ASR_Miscls,ASR_Targets,ASR_Successes,Trigger_Files,Num_Attackers
0,0.0,0.0,0.0,0.0002,0.0,0,0,0,0
1,0.0019,0.0027,0.0014,0.1257,0.0,0,0,4,5
2,0.0633,0.1177,0.0905,0.1684,0.3544,395,140,1,1
3,0.1198,0.1763,0.1686,0.1847,0.1333,15,2,4,4
4,0.1696,0.2411,0.2661,0.2204,0.0412,194,8,1,1
5,0.2269,0.2731,0.3271,0.2344,0.0268,112,3,2,2
6,0.2446,0.2894,0.3561,0.2437,0.0079,126,1,3,3
7,0.2576,0.307,0.3374,0.2816,0.0,162,0,1,1
8,0.2905,0.4182,0.6956,0.299,0.0074,271,2,1,1
9,0.3235,0.4137,0.7091,0.292,0.0,136,0,4,4
10,0.341,0.4411,0.736,0.3149,0.0049,203,1,1,1
