Round,mAP50,F1_Score,Precision,Recall,ASR_Miscls_Avg,ASR_Removal_Avg,ASR_CleanPred,Active_ASR,Miscls_Targets,Removal_Targets,Num_Attackers,Total_Label_Changed,Total_Poisoned_Batches,Total_Gen_Loss_Labels,Total_Gen_Steps,Num_Gen_Paths,Avg_Param_Delta,Max_Param_Delta
0,0.5175,0.5407,0.6266,0.4755,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0
1,0.4897,0.5187,0.6106,0.4508,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,24.923655,25.91787
2,0.4919,0.5201,0.6143,0.451,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,23.123353,24.17636
3,0.4928,0.514,0.5888,0.4562,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,23.189283,23.80161
4,0.49,0.5124,0.6079,0.4428,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,22.977849,23.76558
5,0.4907,0.5141,0.5941,0.4531,0.038,0.0,0.0553,0.038,684,0,6,2413,440,4826,880,6,23.042581,24.157002
6,0.4888,0.514,0.5774,0.4631,0.0512,0.0,0.062,0.0512,684,0,8,3327,584,6654,1168,8,23.146213,23.835243
7,0.4886,0.5113,0.5779,0.4585,0.0322,0.0,0.0465,0.0322,684,0,6,2479,445,4958,890,6,23.145945,24.289895
8,0.4879,0.5129,0.5799,0.4597,0.0336,0.0,0.0474,0.0336,684,0,4,1634,291,3268,582,4,23.308218,24.003023
9,0.4871,0.5103,0.5761,0.458,0.0263,0.0,0.0357,0.0263,684,0,1,504,75,1008,150,1,23.437401,24.547931
10,0.4876,0.5122,0.5826,0.4569,0.0424,0.0,0.061,0.0424,684,0,6,2457,437,4914,874,6,23.535746,24.516122
11,0.487,0.512,0.5895,0.4525,0.0351,0.0,0.0438,0.0351,684,0,6,2564,437,5128,874,6,23.564947,24.268772
12,0.4866,0.509,0.5859,0.45,0.0292,0.0,0.0401,0.0292,684,0,3,1155,220,2310,440,3,23.661425,24.220983
13,0.4883,0.5093,0.5723,0.4588,0.0351,0.0,0.0456,0.0351,684,0,5,2101,372,4202,744,5,23.701262,24.423283
14,0.4874,0.5111,0.5911,0.4503,0.0336,0.0,0.0407,0.0336,684,0,6,2244,425,4488,850,6,23.924547,24.632518
15,0.4849,0.5113,0.5842,0.4545,0.0541,0.0,0.0596,0.0541,684,0,8,3031,587,6062,1174,8,23.968083,24.605867
16,0.4872,0.5133,0.5817,0.4594,0.0336,0.0,0.0393,0.0336,684,0,5,1845,361,3690,722,5,23.963362,24.744898
17,0.4879,0.5142,0.5856,0.4583,0.0365,0.0,0.0518,0.0365,684,0,4,1301,285,2602,570,4,24.069261,24.988532
18,0.4861,0.5108,0.5866,0.4523,0.057,0.0,0.0632,0.057,684,0,7,2702,501,5404,1002,7,24.146683,25.045001
19,0.4861,0.5107,0.5936,0.4481,0.0365,0.0,0.0406,0.0365,684,0,4,1839,314,3678,628,4,24.264745,24.937942
20,0.4868,0.5147,0.5999,0.4506,0.0453,0.0,0.0478,0.0453,684,0,5,2125,361,4250,722,5,24.229055,25.158075
21,0.4875,0.5132,0.6003,0.4481,0.0468,0.0,0.0559,0.0468,684,0,5,2103,374,4206,748,5,24.295335,25.30765
22,0.4865,0.5131,0.5913,0.4532,0.0497,0.0,0.0619,0.0497,684,0,4,1487,295,2974,590,4,24.380892,24.982276
23,0.4864,0.5101,0.5862,0.4514,0.0453,0.0,0.0503,0.0453,684,0,5,2253,376,4506,752,5,24.240056,24.956544
24,0.4853,0.5096,0.5763,0.4567,0.0395,0.0,0.046,0.0395,684,0,3,1194,224,2388,448,3,24.313257,25.076837
25,0.4855,0.513,0.5898,0.4539,0.0395,0.0,0.0476,0.0395,684,0,5,2087,378,4174,756,5,24.383892,25.225745
