Round,mAP50,F1_Score,Precision,Recall,ASR_Miscls_Avg,ASR_Removal_Avg,Active_ASR,Miscls_Targets,Removal_Targets,Num_Attackers,Total_Label_Changed,Total_Poisoned_Batches,Num_Gen_Paths,Avg_Param_Delta,Max_Param_Delta
0,0.246,0.0092,0.0046,1.0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0.0
1,0.7127,0.0084,0.0042,1.0,0.0,0.0,0.0,0,0,0,0,0,0,11.884011,11.896046
2,0.9161,0.6739,0.8832,0.5448,0.0,0.0,0.0,0,0,0,0,0,0,5.566011,5.61293
3,0.9495,0.9035,0.8674,0.9428,0.0,0.0,0.0,0,0,0,0,0,0,4.071879,4.111534
4,0.995,0.9959,0.9919,1.0,0.0,0.0,0.0,0,0,0,0,0,0,4.52929,4.700347
5,0.8761,0.8166,0.9071,0.7424,0.0,0.0,0.0,0,0,0,0,0,0,4.598327,4.721667
6,0.995,0.987,0.9825,0.9916,0.0,0.0,0.0,0,0,0,0,0,0,4.644682,4.710145
7,0.995,0.979,0.96,0.9987,0.0,0.0,0.0,0,0,0,0,0,0,5.101146,5.263511
8,0.995,0.994,0.9881,1.0,0.0,0.0,0.0,0,0,0,0,0,0,5.170331,5.323576
9,0.995,0.9864,0.9806,0.9921,0.0,0.0,0.0,0,0,0,0,0,0,5.743976,5.860794
10,0.995,0.9922,0.9975,0.987,0.0,0.0,0.0,0,0,0,0,0,0,6.405279,6.500066
11,0.995,0.9946,0.9893,1.0,0.0,0.0,0.0,0,0,0,0,0,0,5.737201,5.928659
12,0.995,0.9918,0.9847,0.999,0.0,0.0,0.0,0,0,0,0,0,0,7.072798,7.448507
13,0.995,0.9987,0.9974,1.0,0.0,0.0,0.0,0,0,0,0,0,0,8.518363,9.414158
14,0.995,0.9973,0.9947,1.0,0.0,0.0,0.0,0,0,0,0,0,0,7.262955,7.606388
15,0.995,0.9988,0.9976,1.0,0.0,0.0,0.0,0,0,0,0,0,0,7.050118,7.22667
16,0.995,0.9951,0.9903,1.0,0.0,0.0,0.0,0,0,0,0,0,0,7.059714,7.250126
17,0.995,0.9944,0.9889,1.0,0.0,0.0,0.0,0,0,0,0,0,0,7.385033,7.640256
18,0.995,0.9987,0.9974,1.0,0.0,0.0,0.0,0,0,0,0,0,0,7.76844,8.081309
19,0.995,0.9938,0.9889,0.9988,0.0,0.0,0.0,0,0,0,0,0,0,7.961077,8.065723
20,0.995,0.9988,0.9977,1.0,0.0,0.0,0.0,0,0,0,0,0,0,7.453466,7.662112
21,0.995,0.9973,0.9947,1.0,0.0,0.0,0.0,0,0,0,0,0,0,8.625592,9.01905
22,0.995,0.9837,0.968,1.0,0.0,0.0,0.0,0,0,0,0,0,0,7.565006,7.987596
23,0.995,0.998,0.996,1.0,0.0,0.0,0.0,0,0,0,0,0,0,6.955211,7.079675
24,0.995,0.9964,0.9929,1.0,0.0,0.0,0.0,0,0,0,0,0,0,7.784513,7.890558
25,0.995,0.9977,0.9954,1.0,0.0,0.0,0.0,0,0,0,0,0,0,6.73551,6.845348
26,0.995,0.997,0.994,1.0,0.0,0.0,0.0,0,0,0,0,0,0,7.912525,8.143329
27,0.995,0.998,0.996,1.0,0.0,0.0,0.0,0,0,0,0,0,0,5.588831,5.747125
28,0.995,0.9954,0.9912,0.9996,0.0,0.0,0.0,0,0,0,0,0,0,6.039498,6.207231
29,0.995,0.9987,0.9974,1.0,0.0,0.0,0.0,0,0,0,0,0,0,5.700839,5.810213
30,0.995,0.9972,0.9944,1.0,0.0,0.0,0.0,0,0,0,0,0,0,4.955544,5.1844
31,0.995,0.9978,0.9956,1.0,0.0,0.0,0.0,0,0,0,0,0,0,6.384154,6.859068
32,0.995,0.9956,0.9912,1.0,0.0,0.0,0.0,0,0,0,0,0,0,4.230301,4.458897
33,0.995,0.9979,0.9959,1.0,0.0,0.0,0.0,0,0,0,0,0,0,5.463152,5.799895
34,0.995,0.9965,0.9931,1.0,0.0,0.0,0.0,0,0,0,0,0,0,4.587495,4.878364
35,0.995,0.9989,0.9977,1.0,0.0,0.0,0.0,0,0,0,0,0,0,4.546967,4.691601
36,0.995,0.9986,0.9971,1.0,0.0,0.0,0.0,0,0,0,0,0,0,5.52021,5.608545
37,0.995,0.9968,0.9937,1.0,0.0,0.0,0.0,0,0,0,0,0,0,5.082214,5.333411
38,0.995,0.9983,0.9966,1.0,0.0,0.0,0.0,0,0,0,0,0,0,6.295052,6.488665
39,0.995,0.9981,0.9963,1.0,0.0,0.0,0.0,0,0,0,0,0,0,5.52479,5.668127
40,0.995,0.9984,0.9969,1.0,0.0,0.0,0.0,0,0,0,0,0,0,4.149166,4.363547
41,0.995,0.9986,0.9971,1.0,0.0,0.0,0.0,0,0,0,0,0,0,4.646612,4.760948
42,0.995,0.9984,0.9967,1.0,0.0,0.0,0.0,0,0,0,0,0,0,3.857137,4.287911
43,0.995,0.9982,0.9964,1.0,0.0,0.0,0.0,0,0,0,0,0,0,4.157582,4.468679
44,0.995,0.9985,0.9969,1.0,0.0,0.0,0.0,0,0,0,0,0,0,3.938989,4.108611
45,0.995,0.9989,0.9977,1.0,0.0,0.0,0.0,0,0,0,0,0,0,4.326776,4.374476
46,0.995,0.9989,0.9979,1.0,0.0,0.0,0.0,0,0,0,0,0,0,3.5479,3.844129
