Round,mAP50,F1_Score,Precision,Recall,ASR_Miscls_Avg,ASR_Removal_Avg,Active_ASR,Miscls_Targets,Removal_Targets,Num_Attackers,Total_Label_Changed,Total_Poisoned_Batches,Generator_Loss_Labels,Generator_Update_Steps
0,0.0,0.0,0.0,0.0067,0.0,0.0,0.0,0,0,0,0,0,0,0
1,0.1114,0.2025,0.7399,0.1173,0.1858,0.0,0.1858,436,0,8,4527,970,19211,970
2,0.1815,0.2786,0.831,0.1674,0.0492,0.0,0.0492,549,0,8,4406,974,19117,974
3,0.2137,0.3192,0.6944,0.2072,0.021,0.0,0.021,523,0,8,4239,969,19103,969
4,0.2387,0.346,0.7331,0.2265,0.0056,0.0,0.0056,532,0,4,1834,454,8786,454
5,0.2567,0.3489,0.7667,0.2258,0.0717,0.0,0.0717,628,0,8,4283,954,18430,954
6,0.2728,0.3724,0.764,0.2462,0.1027,0.0,0.1027,662,0,3,1651,365,7134,365
7,0.2828,0.389,0.7561,0.2619,0.1182,0.0,0.1182,584,0,6,3165,708,13798,708
8,0.2949,0.3993,0.7689,0.2697,0.1109,0.0,0.1109,550,0,5,2756,601,11469,601
9,0.3027,0.4088,0.7853,0.2763,0.0958,0.0,0.0958,574,0,8,4356,945,18435,945
10,0.3099,0.4131,0.7845,0.2804,0.0716,0.0,0.0716,545,0,7,3866,816,15715,816
11,0.3146,0.4155,0.7927,0.2815,0.0274,0.0,0.0274,475,0,6,3278,737,14497,737
12,0.3189,0.4173,0.7974,0.2826,0.0251,0.0,0.0251,479,0,7,3914,885,17229,885
13,0.3201,0.4222,0.7927,0.2877,0.0297,0.0,0.0297,471,0,3,1667,373,7149,373
14,0.3239,0.4268,0.7961,0.2916,0.0189,0.0,0.0189,477,0,5,2565,603,11846,603
15,0.3257,0.4329,0.7851,0.2988,0.0216,0.0,0.0216,464,0,4,2092,461,9039,461
16,0.3288,0.4406,0.7911,0.3053,0.0206,0.0,0.0206,486,0,6,3330,726,13939,726
17,0.3295,0.4369,0.7922,0.3016,0.022,0.0,0.022,455,0,3,1620,357,6864,357
18,0.33,0.4405,0.796,0.3045,0.0173,0.0,0.0173,462,0,9,5105,1097,21677,1097
19,0.3314,0.4392,0.7973,0.3031,0.019,0.0,0.019,473,0,5,2781,613,12152,613
20,0.3327,0.4444,0.7946,0.3085,0.0179,0.0,0.0179,447,0,7,3810,840,16470,840
21,0.3351,0.4437,0.803,0.3066,0.0209,0.0,0.0209,479,0,3,1614,360,7120,360
22,0.3362,0.4434,0.803,0.3062,0.0193,0.0,0.0193,467,0,5,2561,579,11411,579
23,0.3374,0.4483,0.806,0.3105,0.0189,0.0,0.0189,477,0,5,2789,629,12074,629
24,0.3378,0.45,0.8056,0.3122,0.016,0.0,0.016,438,0,6,3252,705,13723,705
25,0.3391,0.4511,0.8037,0.3135,0.0151,0.0,0.0151,464,0,7,3814,852,16715,852
26,0.3388,0.4513,0.8062,0.3134,0.0188,0.0,0.0188,479,0,7,3655,847,16490,847
27,0.3414,0.4535,0.8037,0.3158,0.0132,0.0,0.0132,455,0,9,4828,1097,21430,1097
28,0.3407,0.4548,0.8018,0.3174,0.0224,0.0,0.0224,446,0,9,4824,1079,21019,1079
29,0.3412,0.4558,0.8049,0.318,0.0224,0.0,0.0224,446,0,6,2922,695,13495,695
30,0.3426,0.4518,0.8111,0.3132,0.0221,0.0,0.0221,452,0,3,1628,345,6858,345
31,0.343,0.4563,0.807,0.3181,0.0177,0.0,0.0177,453,0,4,2284,491,9354,491
32,0.3436,0.4551,0.8103,0.3164,0.0217,0.0,0.0217,461,0,2,1003,242,4832,242
33,0.3436,0.4571,0.8098,0.3184,0.0195,0.0,0.0195,462,0,6,2963,705,13699,705
34,0.3437,0.4572,0.8102,0.3185,0.0218,0.0,0.0218,459,0,6,3208,665,13402,665
35,0.3442,0.4595,0.8096,0.3208,0.0322,0.0,0.0322,466,0,7,3664,802,15620,802
36,0.3445,0.4592,0.8108,0.3203,0.0279,0.0,0.0279,466,0,5,2672,596,11501,596
37,0.345,0.4604,0.8117,0.3213,0.0283,0.0,0.0283,460,0,5,2672,611,11901,611
38,0.3454,0.4602,0.8134,0.3209,0.031,0.0,0.031,451,0,5,2800,609,11885,609
39,0.3459,0.4602,0.8127,0.3209,0.0239,0.0,0.0239,460,0,4,2220,488,9483,488
40,0.3449,0.4614,0.8105,0.3225,0.0352,0.0,0.0352,454,0,9,4831,1059,20733,1059
41,0.3462,0.4607,0.8138,0.3213,0.0286,0.0,0.0286,455,0,6,3262,743,14345,743
42,0.3464,0.4612,0.8134,0.3218,0.031,0.0,0.031,451,0,4,2150,484,9210,484
43,0.3465,0.4611,0.8114,0.322,0.031,0.0,0.031,451,0,5,2507,596,11642,596
44,0.3466,0.4617,0.8151,0.322,0.0285,0.0,0.0285,456,0,4,2268,486,9690,486
45,0.3478,0.4609,0.815,0.3213,0.0237,0.0,0.0237,465,0,2,1002,248,4611,248
46,0.3467,0.4635,0.8145,0.3239,0.0291,0.0,0.0291,447,0,7,3749,841,16157,841
47,0.3474,0.4644,0.814,0.3249,0.0419,0.0,0.0419,454,0,6,3103,703,13773,703
48,0.3474,0.4643,0.8123,0.3251,0.0433,0.0,0.0433,462,0,6,3394,715,14082,715
49,0.3486,0.4666,0.8148,0.3269,0.0455,0.0,0.0455,462,0,7,3974,846,16629,846
50,0.3483,0.4627,0.8143,0.3231,0.041,0.0,0.041,463,0,3,1758,359,7347,359
51,0.3486,0.4619,0.8133,0.3226,0.0373,0.0,0.0373,456,0,3,1637,361,7129,361
52,0.3485,0.4625,0.8143,0.323,0.0428,0.0,0.0428,467,0,4,2216,481,9650,481
53,0.3494,0.4658,0.8148,0.3261,0.0552,0.0,0.0552,471,0,5,2538,582,11522,582
54,0.3492,0.4641,0.8123,0.3248,0.0508,0.0,0.0508,472,0,3,1547,352,6824,352
55,0.3493,0.4657,0.8132,0.3263,0.0726,0.0,0.0726,468,0,5,2747,582,11646,582
56,0.3489,0.4635,0.8149,0.3239,0.098,0.0,0.098,459,0,7,3954,842,16639,842
57,0.3487,0.4632,0.8127,0.3239,0.0935,0.0,0.0935,460,0,8,4501,962,18774,962
58,0.3493,0.4646,0.8142,0.325,0.0753,0.0,0.0753,465,0,8,4456,1003,19955,1003
59,0.3495,0.464,0.8131,0.3246,0.0865,0.0,0.0865,474,0,5,2705,598,11762,598
60,0.3499,0.464,0.8147,0.3244,0.0751,0.0,0.0751,466,0,5,2929,599,11832,599
61,0.3499,0.464,0.8112,0.325,0.0963,0.0,0.0963,457,0,9,4874,1106,21403,1106
62,0.3495,0.464,0.8124,0.3248,0.0839,0.0,0.0839,465,0,7,3578,805,15736,805
63,0.3498,0.4647,0.8151,0.325,0.1,0.0,0.1,470,0,6,3255,708,14068,708
64,0.3499,0.4634,0.8137,0.3239,0.1133,0.0,0.1133,459,0,8,4587,997,19432,997
