Round,mAP50,F1_Score,Precision,Recall,ASR_Miscls_Avg,ASR_Removal_Avg,Active_ASR,Miscls_Targets,Removal_Targets,Num_Attackers,Total_Label_Changed,Total_Poisoned_Batches,Num_Gen_Paths,Avg_Param_Delta,Max_Param_Delta
0,0.3092,0.0062,0.0031,1.0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0.0
1,0.2661,0.0063,0.0032,1.0,0.0,0.0,0.0,0,0,0,0,0,0,17.934818,18.953442
2,0.1919,0.0062,0.0031,1.0,0.0,0.0,0.0,0,0,0,0,0,0,2.554484,2.828562
3,0.1789,0.3174,0.3277,0.3077,0.0,0.0,0.0,0,0,0,0,0,0,0.806475,1.08655
4,0.1768,0.1391,0.2518,0.0961,0.0,0.0,0.0,0,0,0,0,0,0,0.73463,0.97079
5,0.1767,0.1172,0.2136,0.0808,0.0,0.0,0.0,0,0,0,0,0,0,0.733898,0.959593
6,0.1768,0.1192,0.2162,0.0823,0.0,0.0,0.0,0,0,0,0,0,0,0.733798,0.957349
7,0.1767,0.1195,0.2166,0.0825,0.0,0.0,0.0,0,0,0,0,0,0,0.733802,0.957283
8,0.1767,0.1196,0.2166,0.0826,0.0,0.0,0.0,0,0,0,0,0,0,0.733797,0.957276
9,0.1767,0.1196,0.2167,0.0826,0.0,0.0,0.0,0,0,0,0,0,0,0.733796,0.957256
10,0.1767,0.1195,0.2166,0.0825,0.0,0.0,0.0,0,0,0,0,0,0,0.733794,0.957258
