Round,mAP50,F1_Score,Precision,Recall,ASR_Miscls_Avg,ASR_Removal_Avg,ASR_CleanPred,Active_ASR,Miscls_Targets,Removal_Targets,Num_Attackers,Total_Label_Changed,Total_Poisoned_Batches,Total_Gen_Loss_Labels,Total_Gen_Steps,Num_Gen_Paths,Avg_Param_Delta,Max_Param_Delta
0,0.0,0.0,0.0,0.0274,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0
1,0.127,0.0435,0.0236,0.2787,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,42.188135,43.631052
2,0.2479,0.3269,0.5944,0.2254,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,33.833291,35.125502
3,0.2781,0.3477,0.6029,0.2443,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,25.341164,26.662112
4,0.3007,0.3701,0.6326,0.2616,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,23.092362,24.553674
5,0.3173,0.3819,0.6352,0.273,0.0041,0.0,0.007,0.0041,985,0,6,2295,477,4590,954,6,22.444756,25.389939
6,0.3264,0.3865,0.6366,0.2775,0.0,0.0,0.0023,0.0,985,0,6,2322,462,4644,924,6,21.593659,22.687105
7,0.3308,0.3839,0.5928,0.2838,0.0,0.0,0.0019,0.0,985,0,4,1520,309,3040,618,4,21.291669,22.593877
8,0.3351,0.3806,0.5025,0.3063,0.0,0.0,0.0018,0.0,985,0,2,827,165,1654,330,2,21.509173,22.996644
9,0.34,0.3878,0.517,0.3102,0.0061,0.0,0.0063,0.0061,985,0,5,1997,399,3994,798,5,21.846835,24.558192
10,0.3458,0.3907,0.5295,0.3095,0.0,0.0,0.0024,0.0,985,0,6,2281,474,4562,948,6,21.677112,23.232499
11,0.3498,0.3928,0.5407,0.3085,0.0254,0.0,0.0229,0.0254,985,0,9,3381,703,6762,1406,9,21.706745,23.478318
