Round,mAP50,F1_Score,Precision,Recall,ASR_Miscls_Avg,ASR_Removal_Avg,Active_ASR,Miscls_Targets,Removal_Targets,Num_Attackers,Total_Label_Changed,Total_Poisoned_Batches,Num_Gen_Paths,Avg_Param_Delta,Max_Param_Delta
0,0.0646,0.0093,0.0047,1.0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0.0
1,0.995,0.6626,0.9818,0.5,0.0,0.0,0.0,0,0,0,0,0,0,16.002844,16.005227
2,0.995,0.9932,0.9876,0.9989,0.0,0.0,0.0,0,0,0,0,0,0,2.456337,2.595045
3,0.995,0.999,0.998,1.0,0.0,0.0,0.0,26,0,0,0,0,0,1.302661,1.401294
4,0.995,0.9961,0.9932,0.999,0.1154,0.0,0.1154,26,0,1,73,44,1,2.285328,7.422746
5,0.995,0.9982,0.9965,1.0,0.5385,0.0,0.5385,26,0,1,68,47,1,1.980167,5.844769
6,0.995,0.9986,0.9972,1.0,1.0,0.0,1.0,26,0,2,141,95,2,2.521605,4.844576
7,0.995,0.9985,0.9969,1.0,0.7308,0.0,0.7308,26,0,0,0,0,0,1.466849,1.636961
8,0.995,0.999,0.998,1.0,1.0,0.0,1.0,26,0,2,114,79,2,2.260505,4.185051
9,0.995,0.9984,0.9968,1.0,1.0,0.0,1.0,26,0,2,127,81,2,1.912268,3.2385
10,0.995,0.9989,0.9977,1.0,0.7308,0.0,0.7308,26,0,1,73,45,1,1.454645,2.230719
11,0.995,0.998,0.9961,1.0,0.6923,0.0,0.6923,26,0,0,0,0,0,1.184138,1.217579
12,0.995,0.9987,0.9973,1.0,1.0,0.0,1.0,26,0,1,60,42,1,1.349275,2.225643
13,0.995,0.999,0.9979,1.0,1.0,0.0,1.0,26,0,1,63,43,1,1.317455,1.951167
14,0.995,0.9984,0.9967,1.0,1.0,0.0,1.0,26,0,1,75,44,1,1.226545,1.678386
15,0.995,0.9982,0.9963,1.0,1.0,0.0,1.0,26,0,0,0,0,0,1.153259,1.173112
16,0.995,0.9987,0.9975,1.0,1.0,0.0,1.0,26,0,1,59,41,1,1.305925,1.757379
17,0.995,0.9989,0.9979,1.0,1.0,0.0,1.0,26,0,1,71,42,1,1.277415,1.519257
18,0.995,0.9989,0.9979,1.0,1.0,0.0,1.0,26,0,1,49,35,1,1.302416,1.977837
19,0.995,0.9989,0.9979,1.0,1.0,0.0,1.0,26,0,0,0,0,0,1.170115,1.182855
20,0.995,0.999,0.9979,1.0,1.0,0.0,1.0,26,0,2,146,88,2,1.341203,1.822099
