Round,mAP50,F1_Score,Precision,Recall,ASR_Miscls_Avg,ASR_Removal_Avg,Active_ASR,Miscls_Targets,Removal_Targets,Num_Attackers,Total_Label_Changed,Total_Poisoned_Batches,Num_Gen_Paths,Avg_Param_Delta,Max_Param_Delta
0,0.3597,0.0086,0.0043,1.0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0.0
1,0.9704,0.871,0.9532,0.8018,0.0,0.0,0.0,0,0,0,0,0,0,16.014078,16.022234
2,0.995,0.9988,0.9982,0.9995,0.0,0.0,0.0,0,0,0,0,0,0,2.414697,2.468987
3,0.995,0.9929,0.9858,1.0,0.0,0.4231,0.4231,0,26,1,100,55,1,2.454115,8.669759
4,0.995,0.9957,0.9915,1.0,0.0,0.0,0.0,0,26,1,97,51,1,2.282359,7.136915
5,0.995,0.9961,0.9923,1.0,0.0,1.0,1.0,0,26,1,94,54,1,1.906674,5.953663
6,0.995,0.9935,0.9872,1.0,0.0,1.0,1.0,0,26,2,209,111,2,2.399812,4.90101
7,0.995,0.9989,0.9977,1.0,0.0,1.0,1.0,0,26,0,0,0,0,1.276108,1.630737
8,0.995,0.9974,0.9948,1.0,0.0,1.0,1.0,0,26,1,112,54,1,1.940842,3.775239
9,0.995,0.999,0.998,1.0,0.0,1.0,1.0,0,26,0,0,0,0,1.528828,1.608151
10,0.995,0.9989,0.9978,1.0,0.0,1.0,1.0,0,26,0,0,0,0,1.325523,1.407268
11,0.995,0.9981,0.9962,1.0,0.0,0.9615,0.9615,0,26,2,200,107,2,1.944929,3.543777
12,0.995,0.9984,0.9968,1.0,0.0,0.8846,0.8846,0,26,1,68,42,1,1.562363,2.929685
13,0.995,0.9983,0.9965,1.0,0.0,0.9615,0.9615,0,26,2,188,102,2,1.543191,2.078347
14,0.995,0.9983,0.9966,1.0,0.0,1.0,1.0,0,26,0,0,0,0,1.215506,1.276039
15,0.995,0.9989,0.9978,1.0,0.0,0.6538,0.6538,0,26,0,0,0,0,1.168721,1.2259
16,0.995,0.9988,0.9976,1.0,0.0,1.0,1.0,0,26,1,99,55,1,1.277698,1.763731
17,0.995,0.9985,0.997,1.0,0.0,0.9231,0.9231,0,26,2,182,102,2,1.305487,1.674414
18,0.995,0.9989,0.9978,1.0,0.0,0.7308,0.7308,0,26,0,0,0,0,1.284387,1.370631
19,0.995,0.999,0.998,1.0,0.0,0.8077,0.8077,0,26,0,0,0,0,1.204091,1.343268
20,0.995,0.9989,0.9978,1.0,0.0,0.9231,0.9231,0,26,1,97,54,1,1.159652,1.437296
