Round,mAP50,F1_Score,Precision,Recall,ASR_Miscls_Avg,ASR_Removal_Avg,ASR_CleanPred,Active_ASR,Miscls_Targets,Removal_Targets,Num_Attackers,Total_Label_Changed,Total_Poisoned_Batches,Total_Gen_Loss_Labels,Total_Gen_Steps,Num_Gen_Paths,Avg_Param_Delta,Max_Param_Delta
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0
1,0.0632,0.0343,0.019,0.1722,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,29.120003,30.763248
2,0.1496,0.1508,0.1131,0.2262,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,25.894851,27.743395
3,0.3015,0.1425,0.0813,0.577,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,24.248121,25.776902
4,0.4261,0.175,0.0999,0.7052,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,23.383891,25.25249
5,0.5103,0.3182,0.9157,0.1925,0.0,0.0,0.0,0.0,206,0,7,185,76,370,152,7,22.877694,24.525993
6,0.5863,0.4919,0.8611,0.3443,0.0146,0.0,0.0238,0.0146,206,0,6,139,64,278,128,6,22.496999,24.321649
7,0.6411,0.6105,0.7222,0.5288,0.0583,0.0,0.0385,0.0583,206,0,9,204,96,408,192,9,22.580721,24.216164
8,0.6732,0.6522,0.7167,0.5983,0.1214,0.0,0.0919,0.1214,206,0,5,127,61,254,122,5,22.359566,23.833103
9,0.6877,0.6654,0.709,0.6269,0.432,0.0,0.4559,0.432,206,0,6,143,67,286,134,6,22.251707,23.824362
10,0.7016,0.6735,0.7108,0.6399,0.3252,0.0,0.4112,0.3252,206,0,7,169,83,338,166,7,22.146427,23.95392
11,0.6995,0.6754,0.7258,0.6315,0.4854,0.0,0.6139,0.4854,206,0,8,214,91,428,182,8,22.199558,24.08057
12,0.7234,0.6924,0.7293,0.659,0.4175,0.0,0.4661,0.4175,206,0,5,125,57,250,114,5,22.119117,23.760334
13,0.7348,0.7012,0.7355,0.67,0.6019,0.0,0.6853,0.6019,206,0,5,122,59,244,118,5,22.152994,24.474202
14,0.7283,0.6999,0.7366,0.6666,0.4078,0.0,0.5682,0.4078,206,0,6,150,72,300,144,6,22.166327,23.564983
15,0.7384,0.7057,0.7369,0.6769,0.4563,0.0,0.4792,0.4563,206,0,3,86,34,172,68,3,22.399437,23.598302
16,0.7365,0.7003,0.7152,0.686,0.5922,0.0,0.6648,0.5922,206,0,5,135,59,270,118,5,22.487879,23.974674
17,0.7371,0.7047,0.7359,0.676,0.6311,0.0,0.6949,0.6311,206,0,8,196,91,392,182,8,21.854072,23.499634
18,0.7422,0.7086,0.7387,0.6809,0.4612,0.0,0.4774,0.4612,206,0,6,134,65,268,130,6,21.977013,24.218124
19,0.7499,0.7143,0.7413,0.6892,0.6068,0.0,0.624,0.6068,206,0,6,134,62,268,124,6,22.283466,24.012174
20,0.7454,0.7126,0.7361,0.6905,0.5243,0.0,0.6628,0.5243,206,0,4,80,41,160,82,4,22.056904,23.801981
21,0.757,0.7231,0.7468,0.7009,0.432,0.0,0.4789,0.432,206,0,7,178,82,356,164,7,22.079729,23.600546
22,0.7683,0.7319,0.7681,0.699,0.6845,0.0,0.7074,0.6845,206,0,7,165,75,330,150,7,22.114619,23.144268
23,0.7653,0.7284,0.7612,0.6984,0.6311,0.0,0.6593,0.6311,206,0,7,154,74,308,148,7,22.011997,23.33898
24,0.7642,0.7288,0.7532,0.7059,0.5583,0.0,0.6092,0.5583,206,0,5,119,57,238,114,5,22.018462,23.647911
25,0.7586,0.7252,0.7574,0.6956,0.3835,0.0,0.3889,0.3835,206,0,4,99,46,198,92,4,21.769437,23.291444
26,0.7571,0.7195,0.7516,0.6901,0.5437,0.0,0.5906,0.5437,206,0,6,131,65,262,130,6,22.147446,23.566631
27,0.764,0.7218,0.7511,0.6947,0.5,0.0,0.5372,0.5,206,0,5,107,49,214,98,5,22.01736,23.278366
28,0.7667,0.7301,0.7682,0.6956,0.5049,0.0,0.5208,0.5049,206,0,7,156,75,312,150,7,22.00522,23.408501
29,0.7755,0.7392,0.7737,0.7076,0.6505,0.0,0.707,0.6505,206,0,2,53,26,106,52,2,21.78221,23.219826
30,0.7669,0.7347,0.7699,0.7026,0.6117,0.0,0.625,0.6117,206,0,4,118,46,236,92,4,22.170829,23.64066
31,0.7759,0.7384,0.7639,0.7145,0.5437,0.0,0.5314,0.5437,206,0,4,104,46,208,92,4,22.102327,23.433658
32,0.7706,0.7324,0.7539,0.712,0.4903,0.0,0.5322,0.4903,206,0,6,140,70,280,140,6,21.9501,23.372852
33,0.7691,0.7272,0.7447,0.7105,0.4417,0.0,0.4475,0.4417,206,0,4,96,47,192,94,4,21.851146,23.247391
34,0.7704,0.7279,0.7385,0.7175,0.6359,0.0,0.7366,0.6359,206,0,5,103,58,206,116,5,21.859389,23.222814
35,0.7755,0.7306,0.7513,0.711,0.5243,0.0,0.5727,0.5243,206,0,4,101,44,202,88,4,21.833579,23.257056
36,0.769,0.7297,0.7548,0.7063,0.6359,0.0,0.6906,0.6359,206,0,9,215,107,430,214,9,22.103041,23.449379
37,0.7801,0.7403,0.767,0.7154,0.6262,0.0,0.633,0.6262,206,0,6,144,66,288,132,6,22.172346,23.629798
38,0.7795,0.7407,0.7758,0.7087,0.6068,0.0,0.6542,0.6068,206,0,7,175,85,350,170,7,22.005463,23.51701
39,0.7852,0.7392,0.7638,0.7161,0.3204,0.0,0.3161,0.3204,206,0,3,75,39,150,78,3,22.032079,23.38062
40,0.782,0.7413,0.7778,0.708,0.4126,0.0,0.4332,0.4126,206,0,5,136,62,272,124,5,21.904847,23.517241
41,0.7857,0.7402,0.7704,0.7122,0.5291,0.0,0.6034,0.5291,206,0,5,136,61,272,122,5,22.044527,23.788617
42,0.7761,0.7359,0.7887,0.6897,0.5631,0.0,0.6008,0.5631,206,0,6,136,66,272,132,6,21.915203,23.640866
43,0.7883,0.7425,0.7688,0.7179,0.6505,0.0,0.6767,0.6505,206,0,8,196,88,392,176,8,22.246215,24.1404
44,0.7762,0.7344,0.7476,0.7217,0.5583,0.0,0.5496,0.5583,206,0,7,156,78,312,156,7,22.036917,24.019745
45,0.7775,0.7351,0.766,0.7066,0.5243,0.0,0.535,0.5243,206,0,4,93,44,186,88,4,22.071321,23.423558
46,0.7833,0.7425,0.7618,0.7242,0.4951,0.0,0.5838,0.4951,206,0,4,116,43,232,86,4,22.037811,23.216394
47,0.7843,0.7409,0.7813,0.7045,0.6214,0.0,0.6555,0.6214,206,0,7,169,79,338,158,7,21.93925,23.132933
48,0.7877,0.743,0.7643,0.7228,0.5971,0.0,0.5991,0.5971,206,0,5,129,54,258,108,5,21.971195,23.416266
49,0.7861,0.7467,0.7767,0.719,0.6165,0.0,0.6387,0.6165,206,0,7,165,77,330,154,7,21.744515,23.78565
50,0.7832,0.7423,0.7676,0.7186,0.4417,0.0,0.4726,0.4417,206,0,4,102,44,204,88,4,21.938419,23.370679
51,0.7788,0.7338,0.7623,0.7074,0.4612,0.0,0.5306,0.4612,206,0,3,74,35,148,70,3,22.241152,23.62945
52,0.7826,0.7403,0.7654,0.7168,0.6068,0.0,0.6545,0.6068,206,0,6,138,67,276,134,6,22.023294,23.827439
53,0.7902,0.744,0.7724,0.7177,0.6456,0.0,0.693,0.6456,206,0,8,188,86,376,172,8,22.002932,23.309431
54,0.7844,0.7437,0.7785,0.7119,0.665,0.0,0.6892,0.665,206,0,3,75,36,150,72,3,22.128058,23.841448
55,0.7716,0.7353,0.769,0.7044,0.6456,0.0,0.7366,0.6456,206,0,10,282,116,564,232,10,22.042281,23.328908
56,0.7949,0.7501,0.7794,0.7228,0.2864,0.0,0.2831,0.2864,206,0,7,183,81,366,162,7,22.134411,23.255469
57,0.7754,0.7359,0.7676,0.7066,0.6699,0.0,0.7166,0.6699,206,0,9,221,106,442,212,9,22.275781,23.772877
58,0.7809,0.7404,0.7715,0.7118,0.5194,0.0,0.5018,0.5194,206,0,7,168,74,336,148,7,21.910203,23.309322
59,0.795,0.748,0.7594,0.7369,0.5825,0.0,0.5777,0.5825,206,0,6,134,60,268,120,6,22.216873,23.527979
60,0.7895,0.7434,0.7618,0.7259,0.6602,0.0,0.6937,0.6602,206,0,7,175,76,350,152,7,21.996118,23.639934
61,0.7942,0.748,0.7795,0.719,0.4757,0.0,0.5,0.4757,206,0,8,185,96,370,192,8,22.001246,23.674637
62,0.7912,0.7456,0.7668,0.7256,0.5728,0.0,0.6324,0.5728,206,0,5,131,57,262,114,5,22.177251,23.652516
63,0.7776,0.7386,0.7605,0.718,0.6117,0.0,0.6579,0.6117,206,0,8,205,94,410,188,8,22.304445,23.552702
64,0.7968,0.753,0.775,0.7323,0.6359,0.0,0.6852,0.6359,206,0,6,161,70,322,140,6,22.042907,23.219602
65,0.7906,0.7513,0.7761,0.7281,0.6602,0.0,0.6762,0.6602,206,0,6,142,64,284,128,6,21.912102,23.628435
66,0.7924,0.746,0.7568,0.7354,0.6553,0.0,0.7118,0.6553,206,0,4,112,54,224,108,4,22.257838,23.638903
67,0.797,0.75,0.7765,0.7252,0.6505,0.0,0.6836,0.6505,206,0,6,181,68,362,136,6,22.106573,23.483935
68,0.7943,0.752,0.7756,0.7298,0.6214,0.0,0.6473,0.6214,206,0,2,40,21,80,42,2,22.039055,23.627962
69,0.7923,0.7414,0.7681,0.7165,0.5728,0.0,0.5775,0.5728,206,0,5,103,50,206,100,5,22.207772,23.543415
70,0.7978,0.7519,0.7886,0.7185,0.7184,0.0,0.749,0.7184,206,0,5,144,60,288,120,5,22.052841,23.433673
71,0.771,0.7311,0.7736,0.693,0.6505,0.0,0.7126,0.6505,206,0,8,232,98,464,196,8,21.978618,23.705815
72,0.7882,0.7396,0.7637,0.7169,0.7184,0.0,0.7382,0.7184,206,0,6,136,66,272,132,6,22.065941,23.855455
73,0.787,0.7424,0.7755,0.7119,0.6311,0.0,0.5827,0.6311,206,0,5,137,59,274,118,5,21.959038,23.381492
74,0.7857,0.7419,0.7691,0.7166,0.6165,0.0,0.7064,0.6165,206,0,8,202,91,404,182,8,22.098429,23.244556
75,0.7826,0.7413,0.7653,0.7188,0.6214,0.0,0.7035,0.6214,206,0,8,200,94,400,188,8,22.001405,23.602073
76,0.8026,0.7556,0.7835,0.7297,0.6068,0.0,0.6667,0.6068,206,0,6,155,72,310,144,6,21.872269,23.924239
77,0.793,0.7497,0.7779,0.7235,0.5874,0.0,0.6019,0.5874,206,0,5,142,58,284,116,5,21.880074,23.312798
78,0.7912,0.7455,0.7642,0.7276,0.6456,0.0,0.6568,0.6456,206,0,7,167,75,334,150,7,21.788446,23.308169
79,0.7827,0.7359,0.7646,0.7093,0.5,0.0,0.5698,0.5,206,0,7,157,83,314,166,7,22.300441,23.636687
80,0.794,0.7496,0.7813,0.7205,0.6165,0.0,0.642,0.6165,206,0,5,132,56,264,112,5,21.942261,23.391062
81,0.7931,0.748,0.7809,0.7177,0.6117,0.0,0.6743,0.6117,206,0,7,165,77,330,154,7,22.430018,23.475607
82,0.7954,0.7508,0.7626,0.7394,0.6699,0.0,0.7299,0.6699,206,0,5,109,55,218,110,5,22.152201,23.469538
83,0.7897,0.7463,0.7731,0.7212,0.7039,0.0,0.7549,0.7039,206,0,7,177,75,354,150,7,22.171761,23.282725
84,0.7953,0.7511,0.7921,0.7141,0.6602,0.0,0.6866,0.6602,206,0,5,141,62,282,124,5,22.143662,23.593693
85,0.7864,0.7436,0.7592,0.7287,0.1942,0.0,0.2233,0.1942,206,0,4,114,51,228,102,4,21.855123,23.39764
86,0.7948,0.7477,0.7695,0.727,0.7039,0.0,0.7293,0.7039,206,0,8,186,87,372,174,8,22.008934,23.407166
87,0.797,0.7489,0.7693,0.7296,0.7136,0.0,0.7625,0.7136,206,0,7,166,84,332,168,7,22.379233,23.409981
88,0.7924,0.7461,0.777,0.7176,0.6553,0.0,0.7207,0.6553,206,0,7,182,81,364,162,7,22.122673,23.996437
89,0.7899,0.747,0.7819,0.7151,0.6796,0.0,0.7511,0.6796,206,0,5,124,59,248,118,5,22.032816,23.324232
90,0.8024,0.7556,0.7849,0.7284,0.7573,0.0,0.7584,0.7573,206,0,7,162,77,324,154,7,22.110085,23.129339
91,0.7939,0.7475,0.7764,0.7206,0.6699,0.0,0.6992,0.6699,206,0,9,252,107,504,214,9,22.132051,23.532545
92,0.8028,0.7514,0.7723,0.7316,0.6408,0.0,0.6957,0.6408,206,0,3,87,39,174,78,3,22.153722,23.447881
93,0.7879,0.7486,0.7966,0.706,0.6893,0.0,0.7254,0.6893,206,0,8,188,95,376,190,8,22.328318,23.339075
