Round,mAP50,F1_Score,Precision,Recall,ASR_Miscls_Avg,ASR_Removal_Avg,Active_ASR,Miscls_Targets,Removal_Targets,Num_Attackers,Total_Label_Changed,Total_Poisoned_Batches,Num_Gen_Paths,Avg_Param_Delta,Max_Param_Delta
0,0.0,0.0,0.0,0.0008,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0.0
1,0.1735,0.2486,0.3767,0.1855,0.0,0.0,0.0,0,0,0,0,0,0,45.826741,51.595915
2,0.2868,0.3314,0.6414,0.2234,0.0,0.0,0.0,0,0,0,0,0,0,35.459111,37.018808
3,0.3214,0.3477,0.5063,0.2648,0.0,0.0,0.0,0,0,0,0,0,0,26.859753,28.531455
4,0.3365,0.4091,0.6609,0.2963,0.0,0.0,0.0,0,0,0,0,0,0,24.841284,26.688927
5,0.3437,0.4262,0.6575,0.3153,0.0,0.0,0.0,985,0,9,11035,1641,9,25.118005,28.686125
6,0.3508,0.4331,0.6682,0.3204,0.0,0.0,0.0,985,0,5,6075,921,5,23.834977,25.612018
7,0.3584,0.4432,0.6703,0.3311,0.0,0.0,0.0,985,0,8,9625,1452,8,24.437142,26.08499
8,0.3643,0.4526,0.6662,0.3428,0.0,0.0,0.0,985,0,9,10869,1641,9,23.974305,25.297239
9,0.3739,0.4494,0.64,0.3463,0.0,0.0,0.0,985,0,7,8374,1269,7,24.028366,25.320534
10,0.3872,0.4529,0.5873,0.3686,0.0,0.0,0.0,985,0,5,6143,913,5,24.158524,26.680078
11,0.4003,0.4668,0.5759,0.3925,0.0,0.0,0.0,985,0,9,10663,1628,9,24.800762,27.221798
12,0.4112,0.5189,0.7284,0.403,0.0,0.0,0.0,985,0,10,11873,1812,10,24.734454,26.039156
13,0.4279,0.4893,0.6025,0.412,0.0,0.0,0.0,985,0,8,9628,1458,8,24.547319,25.70036
14,0.4365,0.501,0.6249,0.4181,0.0,0.0,0.0,985,0,6,7486,1105,6,25.065888,26.784909
15,0.4496,0.51,0.6294,0.4287,0.0,0.0,0.0,985,0,7,8474,1282,7,25.12561,27.613303
16,0.4581,0.5154,0.6445,0.4294,0.0,0.0,0.0,985,0,9,10766,1639,9,25.168259,26.591283
17,0.464,0.5191,0.6382,0.4375,0.001,0.0,0.001,985,0,12,14400,2201,12,25.284969,26.356765
18,0.4681,0.5241,0.6448,0.4415,0.0,0.0,0.0,985,0,10,11953,1811,10,25.311268,26.189701
19,0.4817,0.5347,0.6538,0.4524,0.0,0.0,0.0,985,0,8,9797,1470,8,25.507474,28.084002
20,0.4815,0.5344,0.6764,0.4416,0.0,0.0,0.0,985,0,8,9513,1459,8,25.68043,28.106333
21,0.4917,0.5408,0.6672,0.4547,0.0,0.0,0.0,985,0,10,12033,1835,10,25.602353,27.29218
22,0.503,0.5875,0.8255,0.456,0.0,0.0,0.0,985,0,6,7064,1095,6,25.43382,26.789153
23,0.5061,0.5413,0.6699,0.4541,0.0,0.0,0.0,985,0,9,10695,1642,9,25.869704,27.757484
24,0.5041,0.5425,0.668,0.4568,0.0,0.0,0.0,985,0,10,12093,1820,10,26.286631,28.229669
25,0.5231,0.5551,0.688,0.4652,0.0,0.0,0.0,985,0,7,8454,1278,7,25.750777,27.194777
26,0.5241,0.5506,0.6808,0.4622,0.0,0.0,0.0,985,0,8,9584,1447,8,26.056873,28.507736
27,0.5359,0.5204,0.5506,0.4933,0.0,0.0,0.0,985,0,9,10898,1645,9,26.158927,29.04923
28,0.5481,0.5278,0.5432,0.5133,0.0,0.0,0.0,985,0,8,9397,1459,8,25.857366,27.995086
29,0.5534,0.5636,0.6372,0.5052,0.0,0.0,0.0,985,0,11,13106,2006,11,26.223407,29.158767
30,0.5693,0.5632,0.6303,0.509,0.0,0.0,0.0,985,0,8,9550,1449,8,26.175327,27.944055
31,0.5688,0.5711,0.6429,0.5137,0.0,0.0,0.0,985,0,9,10826,1643,9,26.270836,29.409928
32,0.5693,0.5712,0.6088,0.538,0.0,0.0,0.0,985,0,9,10772,1628,9,26.334589,27.463404
33,0.5726,0.5612,0.5934,0.5323,0.0,0.0,0.0,985,0,11,13047,2000,11,26.287823,27.947482
34,0.5748,0.5662,0.6111,0.5274,0.0,0.0,0.0,985,0,6,7286,1101,6,26.252711,27.39415
35,0.5676,0.5643,0.5954,0.5363,0.0,0.0,0.0,985,0,8,9681,1469,8,26.424688,28.897825
36,0.5743,0.5666,0.6277,0.5164,0.0,0.0,0.0,985,0,7,8313,1274,7,26.203044,27.812773
37,0.5839,0.5686,0.5945,0.5448,0.0,0.0,0.0,985,0,8,9378,1455,8,26.393287,28.518117
38,0.589,0.5879,0.6291,0.5517,0.001,0.0,0.001,985,0,7,8302,1267,7,26.308387,27.479732
39,0.5849,0.5733,0.6,0.5489,0.0,0.0,0.0,985,0,7,8319,1258,7,26.405182,28.974861
40,0.6024,0.6014,0.6591,0.5529,0.0,0.0,0.0,985,0,6,7140,1101,6,26.413756,27.674686
41,0.5964,0.5952,0.6523,0.5473,0.0051,0.0,0.0051,985,0,9,11012,1643,9,26.60665,28.679357
42,0.5934,0.5965,0.6592,0.5446,0.0,0.0,0.0,985,0,10,11934,1817,10,26.573186,28.077542
